quartier,nom,nbCinemas,indexCinemas,nbMusees,indexMusees,index
1,Saint-Germain-l'Auxerrois,0,0.000,3,0.600,0.300
2,Halles,2,0.286,0,0.000,0.143
3,Palais-Royal,0,0.000,0,0.000,0.000
4,Place-Vendôme,0,0.000,0,0.000,0.000
5,Gaillon,1,0.143,0,0.000,0.071
6,Vivienne,0,0.000,0,0.000,0.000
7,Mail,1,0.143,0,0.000,0.071
8,Bonne-Nouvelle,1,0.143,0,0.000,0.071
9,Arts-et-Métiers,0,0.000,1,0.200,0.100
10,Enfants-Rouges,0,0.000,0,0.000,0.000
11,Archives,0,0.000,3,0.600,0.300
12,Sainte-Avoye,1,0.143,1,0.200,0.171
13,Saint-Merri,1,0.143,1,0.200,0.171
14,Saint-Gervais,0,0.000,1,0.200,0.100
15,Arsenal,0,0.000,1,0.200,0.100
16,Notre-Dame,0,0.000,0,0.000,0.000
17,Saint-Victor,2,0.286,2,0.400,0.343
18,Jardin-des-Plantes,1,0.143,5,1.000,0.571
19,Val-de-Grâce,2,0.286,1,0.200,0.243
20,Sorbonne,7,1.000,1,0.200,0.600
21,Monnaie,5,0.714,1,0.200,0.457
22,Odéon,3,0.429,1,0.200,0.314
23,Notre-Dame-des-Champs,6,0.857,2,0.400,0.629
24,Saint-Germain-des-Prés,1,0.143,1,0.200,0.171
25,Saint-Thomas-d'Aquin,0,0.000,1,0.200,0.100
26,Invalides,0,0.000,2,0.400,0.200
27,École-Militaire,1,0.143,0,0.000,0.071
28,Gros-Caillou,0,0.000,1,0.200,0.100
29,Champs-Élysées,3,0.429,1,0.200,0.314
30,Faubourg-du-Roule,5,0.714,0,0.000,0.357
31,Madeleine,1,0.143,0,0.000,0.071
32,Europe,0,0.000,2,0.400,0.200
33,Saint-Georges,0,0.000,2,0.400,0.200
34,Chaussée-d'Antin,4,0.571,0,0.000,0.286
35,Faubourg-Montmartre,1,0.143,1,0.200,0.171
36,Rochechouart,0,0.000,0,0.000,0.000
37,Saint-Vincent-de-Paul,1,0.143,0,0.000,0.071
38,Porte-Saint-Denis,2,0.286,0,0.000,0.143
39,Porte-Saint-Martin,0,0.000,0,0.000,0.000
40,Hôpital-Saint-Louis,0,0.000,0,0.000,0.000
41,Folie-Méricourt,0,0.000,0,0.000,0.000
42,Saint-Ambroise,0,0.000,0,0.000,0.000
43,Roquette,3,0.429,0,0.000,0.214
44,Sainte-Marguerite,0,0.000,0,0.000,0.000
45,Bel-Air,0,0.000,2,0.400,0.200
46,Picpus,1,0.143,0,0.000,0.071
47,Bercy,1,0.143,0,0.000,0.071
48,Quinze-Vingts,1,0.143,0,0.000,0.071
49,Salpêtrière,0,0.000,0,0.000,0.000
50,Gare,1,0.143,1,0.200,0.171
51,Maison-Blanche,0,0.000,0,0.000,0.000
52,Croulebarbe,3,0.429,0,0.000,0.214
53,Montparnasse,4,0.571,0,0.000,0.286
54,Parc-de-Montsouris,0,0.000,0,0.000,0.000
55,Petit-Montrouge,2,0.286,2,0.400,0.343
56,Plaisance,1,0.143,0,0.000,0.071
57,Saint-Lambert,2,0.286,0,0.000,0.143
58,Necker,0,0.000,3,0.600,0.300
59,Grenelle,0,0.000,0,0.000,0.000
60,Javel,1,0.143,0,0.000,0.071
61,Auteuil,0,0.000,1,0.200,0.100
62,Muette,1,0.143,3,0.600,0.371
63,Porte-Dauphine,0,0.000,1,0.200,0.100
64,Chaillot,0,0.000,4,0.800,0.400
65,Ternes,3,0.429,0,0.000,0.214
66,Plaine-de-Monceaux,0,0.000,1,0.200,0.100
67,Batignolles,1,0.143,0,0.000,0.071
68,Épinettes,0,0.000,0,0.000,0.000
69,Grandes-Carrières,2,0.286,0,0.000,0.143
70,Clignancourt,0,0.000,1,0.200,0.100
71,Goutte-d'Or,0,0.000,0,0.000,0.000
72,Chapelle,0,0.000,0,0.000,0.000
73,Villette,2,0.286,0,0.000,0.143
74,Pont-de-Flandre,3,0.429,1,0.200,0.314
75,Amérique,0,0.000,0,0.000,0.000
76,Combat,0,0.000,0,0.000,0.000
77,Belleville,0,0.000,0,0.000,0.000
78,Saint-Fargeau,1,0.143,0,0.000,0.071
79,Père-Lachaise,1,0.143,0,0.000,0.071
80,Charonne,0,0.000,0,0.000,0.000
