quartier,nom,nbStationsVelib,indexStationsVelib,tempsMetro,indexTempsMetro,index
1,Saint-Germain-l'Auxerrois,4,0.036,792,0.842,0.727
2,Halles,13,0.071,1527,0.646,0.564
3,Palais-Royal,6,0.036,1188,0.736,0.636
4,Place-Vendôme,5,0.143,1410,0.677,0.601
5,Gaillon,4,0.143,1570,0.634,0.564
6,Vivienne,7,0.143,1628,0.619,0.551
7,Mail,7,0.143,1906,0.544,0.487
8,Bonne-Nouvelle,5,0.071,1240,0.722,0.629
9,Arts-et-Métiers,4,0.036,1272,0.714,0.617
10,Enfants-Rouges,3,0.000,1555,0.638,0.547
11,Archives,4,0.036,1457,0.664,0.575
12,Sainte-Avoye,4,0.036,953,0.799,0.690
13,Saint-Merri,10,0.250,961,0.797,0.719
14,Saint-Gervais,5,0.071,1411,0.677,0.590
15,Arsenal,7,0.143,2303,0.438,0.396
16,Notre-Dame,3,0.000,1225,0.726,0.623
17,Saint-Victor,10,0.250,1796,0.574,0.528
18,Jardin-des-Plantes,10,0.250,1744,0.588,0.540
19,Val-de-Grâce,7,0.143,1573,0.633,0.563
20,Sorbonne,11,0.286,1151,0.746,0.680
21,Monnaie,6,0.107,828,0.832,0.729
22,Odéon,7,0.143,981,0.792,0.699
23,Notre-Dame-des-Champs,14,0.393,761,0.850,0.785
24,Saint-Germain-des-Prés,6,0.107,402,0.946,0.826
25,Saint-Thomas-d'Aquin,7,0.143,201,1.000,0.878
26,Invalides,8,0.179,727,0.859,0.762
27,École-Militaire,5,0.071,1336,0.697,0.607
28,Gros-Caillou,10,0.250,1489,0.656,0.598
29,Champs-Élysées,14,0.393,772,0.847,0.783
30,Faubourg-du-Roule,15,0.429,1297,0.707,0.667
31,Madeleine,8,0.179,1274,0.713,0.637
32,Europe,17,0.500,1235,0.724,0.692
33,Saint-Georges,14,0.393,1761,0.583,0.556
34,Chaussée-d'Antin,12,0.321,1541,0.642,0.596
35,Faubourg-Montmartre,8,0.179,2176,0.472,0.430
36,Rochechouart,12,0.321,1857,0.558,0.524
37,Saint-Vincent-de-Paul,16,0.464,2067,0.501,0.496
38,Porte-Saint-Denis,12,0.321,1526,0.646,0.600
39,Porte-Saint-Martin,12,0.321,2039,0.509,0.482
40,Hôpital-Saint-Louis,12,0.321,1928,0.539,0.508
41,Folie-Méricourt,12,0.321,2573,0.366,0.360
42,Saint-Ambroise,13,0.357,2845,0.294,0.303
43,Roquette,12,0.321,2509,0.383,0.375
44,Sainte-Marguerite,16,0.464,2987,0.256,0.285
45,Bel-Air,15,0.429,3609,0.090,0.138
46,Picpus,25,0.786,3944,0.000,0.112
47,Bercy,9,0.214,2835,0.296,0.285
48,Quinze-Vingts,14,0.393,1913,0.543,0.521
49,Salpêtrière,13,0.357,1794,0.574,0.543
50,Gare,31,1.000,2618,0.354,0.447
51,Maison-Blanche,19,0.571,2060,0.503,0.513
52,Croulebarbe,6,0.107,1662,0.610,0.538
53,Montparnasse,12,0.321,1503,0.652,0.605
54,Parc-de-Montsouris,8,0.179,2718,0.328,0.306
55,Petit-Montrouge,14,0.393,1552,0.639,0.604
56,Plaisance,20,0.607,1353,0.692,0.680
57,Saint-Lambert,26,0.821,1444,0.668,0.690
58,Necker,22,0.679,1053,0.772,0.759
59,Grenelle,18,0.536,2457,0.397,0.417
60,Javel,22,0.679,1912,0.543,0.562
61,Auteuil,20,0.607,1709,0.597,0.599
62,Muette,16,0.464,2580,0.364,0.379
63,Porte-Dauphine,19,0.571,2094,0.494,0.505
64,Chaillot,9,0.214,1692,0.602,0.546
65,Ternes,18,0.536,1990,0.522,0.524
66,Plaine-de-Monceaux,16,0.464,1858,0.557,0.544
67,Batignolles,10,0.250,2163,0.476,0.444
68,Épinettes,13,0.357,2129,0.485,0.467
69,Grandes-Carrières,22,0.679,1980,0.525,0.547
70,Clignancourt,20,0.607,2280,0.445,0.468
71,Goutte-d'Or,7,0.143,2813,0.302,0.279
72,Chapelle,11,0.286,2737,0.322,0.317
73,Villette,15,0.429,2040,0.509,0.497
74,Pont-de-Flandre,18,0.536,2655,0.344,0.372
75,Amérique,17,0.500,3142,0.214,0.255
76,Combat,14,0.393,2285,0.443,0.436
77,Belleville,7,0.143,2797,0.306,0.283
78,Saint-Fargeau,14,0.393,3204,0.198,0.226
79,Père-Lachaise,18,0.536,3077,0.232,0.275
80,Charonne,31,1.000,3168,0.207,0.321
